Date;BMA;GGAL
2023-05-12;18.479999542236328;12.390000343322754
2023-05-11;18.56999969482422;12.75
2023-05-10;18.309999465942383;12.350000381469728
2023-05-09;18.38999938964844;12.140000343322754
2023-05-08;17.93000030517578;11.93000030517578
2023-05-05;17.799999237060547;11.65999984741211
2023-05-04;16.809999465942383;10.93000030517578
2023-05-03;17.200000762939453;11.300000190734863
2023-05-02;17.3700008392334;11.390000343322754
2023-05-01;17.219999313354492;11.199999809265137
2023-04-28;17.690000534057617;11.520000457763672
2023-04-27;17.6200008392334;11.479999542236328
2023-04-26;17.959999084472656;11.489999771118164
2023-04-25;18.1200008392334;11.630000114440918
2023-04-24;18.149999618530277;11.699999809265137
2023-04-21;18.06999969482422;11.65999984741211
2023-04-20;18.600000381469727;11.869999885559082
2023-04-19;18.290000915527344;11.640000343322754
2023-04-18;19.989999771118164;12.380000114440918
2023-04-17;21.11000061035156;12.93000030517578
2023-04-14;20.76000022888184;12.729999542236328
2023-04-13;20.040000915527344;12.4399995803833
2023-04-12;19.549999237060547;12.359999656677246
2023-04-11;18.729999542236328;11.649999618530272
2023-04-10;18.010000228881836;11.130000114440918
2023-04-06;17.790000915527344;10.9399995803833
2023-04-05;18.030000686645508;11.09000015258789
2023-04-04;17.90999984741211;11.09000015258789
2023-04-03;18.43000030517578;11.359999656677246
2023-03-31;17.809999465942383;10.979999542236328
2023-03-30;18.57999992370605;11.399999618530272
2023-03-29;18.57999992370605;11.630000114440918
2023-03-28;18.200000762939453;11.399999618530272
2023-03-27;18.049999237060547;11.1899995803833
2023-03-24;17.030000686645508;10.649999618530272
2023-03-23;17.040000915527344;10.579999923706056
2023-03-22;17.510000228881836;10.739999771118164
2023-03-21;17.950000762939453;11.050000190734863
2023-03-20;16.790000915527344;10.279999732971191
2023-03-17;17.1299991607666;10.4399995803833
2023-03-16;18.100000381469727;10.880000114440918
2023-03-15;16.809999465942383;10.3100004196167
2023-03-14;18.280000686645508;10.989999771118164
2023-03-13;18.479999542236328;11.270000457763672
2023-03-10;18.940000534057617;11.710000038146973
2023-03-09;19.8799991607666;12.5600004196167
2023-03-08;20.780000686645508;13.18000030517578
2023-03-07;19.850000381469727;12.670000076293944
2023-03-06;20.34000015258789;13.039999961853027
2023-03-03;19.700000762939453;12.84000015258789
2023-03-02;19.149999618530277;12.479999542236328
2023-03-01;20.559999465942383;13.420000076293944
2023-02-28;20.71999931335449;13.31999969482422
2023-02-27;21.209999084472656;13.710000038146973
2023-02-24;20.729999542236328;13.449999809265137
2023-02-23;20.899999618530277;13.539999961853027
2023-02-22;20.299999237060547;13.239999771118164
2023-02-21;20.26000022888184;13.15999984741211
2023-02-17;20.21999931335449;13.300000190734863
2023-02-16;21.420000076293945;13.949999809265137
2023-02-15;21.43000030517578;13.829999923706056
2023-02-14;21.71999931335449;13.920000076293944
2023-02-13;21.34000015258789;13.550000190734863
2023-02-10;20.40999984741211;12.760000228881836
2023-02-09;20.229999542236328;12.699999809265137
2023-02-08;20.8799991607666;12.970000267028809
2023-02-07;20.729999542236328;12.779999732971191
2023-02-06;20.8799991607666;12.720000267028809
2023-02-03;20.59000015258789;12.329999923706056
2023-02-02;21.82999992370605;13.130000114440918
2023-02-01;21.540000915527344;13.170000076293944
2023-01-31;21.96999931335449;13.399999618530272
2023-01-30;20.84000015258789;12.630000114440918
2023-01-27;21.670000076293945;13.239999771118164
2023-01-26;22.61000061035156;13.823999404907228
2023-01-25;22.75;13.973179817199709
2023-01-24;21.850000381469727;13.456022262573242
2023-01-23;21.920000076293945;13.505748748779297
2023-01-20;22.68000030517578;13.674819946289062
2023-01-19;21.38999938964844;12.8195219039917
2023-01-18;20.920000076293945;12.33220100402832
2023-01-17;22.170000076293945;13.684764862060549
2023-01-13;20.559999465942383;12.968701362609863
2023-01-12;20.75;12.779741287231444
2023-01-11;19.81999969482422;12.322256088256836
2023-01-10;18.75;11.516684532165527
2023-01-09;18.600000381469727;11.337668418884276
2023-01-06;18.11000061035156;11.03930950164795
2023-01-05;17.610000610351562;10.502262115478516
2023-01-04;16.520000457763672;9.835925102233888
2023-01-03;15.8100004196167;9.497783660888672
2022-12-30;16.420000076293945;9.676798820495604
2022-12-29;16.299999237060547;9.557455062866213
2022-12-28;16.540000915527344;9.577346801757812
2022-12-27;15.979999542236328;9.308822631835938
2022-12-23;15.84000015258789;9.229259490966797
2022-12-22;15.38700008392334;8.901063919067383
2022-12-21;15.078463554382324;8.861283302307129
2022-12-20;14.33200454711914;8.523141860961914
2022-12-19;13.665167808532717;7.916477680206299
2022-12-16;13.366585731506348;7.638008117675781
2022-12-15;13.38649082183838;7.647953987121582
2022-12-14;13.396443367004396;7.628063201904297
2022-12-13;13.356632232666016;7.578336238861084
2022-12-12;13.645262718200684;7.717571258544922
2022-12-09;13.227246284484863;7.399320602416992
2022-12-08;13.247152328491213;7.46893835067749
2022-12-07;13.884129524230955;7.906531810760498
2022-12-06;13.545734405517578;7.588282108306885
2022-12-05;13.3466796875;7.598227024078369
2022-12-02;14.172760009765623;8.175056457519531
2022-12-01;14.182713508605955;8.085548400878906
2022-11-30;14.461390495300291;8.055712699890137
2022-11-29;13.87417697906494;7.876696109771728
2022-11-28;13.655216217041016;7.807078838348389
2022-11-25;13.615405082702637;7.707625865936279
2022-11-23;13.187435150146484;7.49877405166626
2022-11-22;12.889846801757812;7.28992223739624
2022-11-21;12.711783409118652;7.2401957511901855
2022-11-18;12.790922164916992;7.25014066696167
2022-11-17;12.70189094543457;7.170578479766846
