Date,BBAR,BMA,GGAL,SUPV
2023-05-12,4.570000171661377,18.479999542236328,12.390000343322754,2.3399999141693115
2023-05-11,4.539999961853027,18.56999969482422,12.75,2.369999885559082
2023-05-10,4.389999866485596,18.309999465942383,12.350000381469727,2.3499999046325684
2023-05-09,4.300000190734863,18.389999389648438,12.140000343322754,2.2699999809265137
2023-05-08,4.239999771118164,17.93000030517578,11.930000305175781,2.2799999713897705
2023-05-05,4.139999866485596,17.799999237060547,11.65999984741211,2.130000114440918
2023-05-04,3.869999885559082,16.809999465942383,10.930000305175781,2.049999952316284
2023-05-03,4.0,17.200000762939453,11.300000190734863,2.0799999237060547
2023-05-02,4.099999904632568,17.3700008392334,11.390000343322754,2.0999999046325684
2023-05-01,4.159999847412109,17.219999313354492,11.199999809265137,2.119999885559082
2023-04-28,4.28000020980835,17.690000534057617,11.520000457763672,2.2300000190734863
2023-04-27,4.320000171661377,17.6200008392334,11.479999542236328,2.240000009536743
2023-04-26,4.400000095367432,17.959999084472656,11.489999771118164,2.259999990463257
2023-04-25,4.420000076293945,18.1200008392334,11.630000114440918,2.25
2023-04-24,4.480000019073486,18.149999618530273,11.699999809265137,2.3299999237060547
2023-04-21,4.460000038146973,18.06999969482422,11.65999984741211,2.369999885559082
2023-04-20,4.610000133514404,18.600000381469727,11.869999885559082,2.3499999046325684
2023-04-19,4.519999980926514,18.290000915527344,11.640000343322754,2.3299999237060547
2023-04-18,4.889999866485596,19.989999771118164,12.380000114440918,2.5299999713897705
2023-04-17,5.019999980926514,21.110000610351562,12.930000305175781,2.6500000953674316
2023-04-14,4.900000095367432,20.760000228881836,12.729999542236328,2.640000104904175
2023-04-13,4.670000076293945,20.040000915527344,12.4399995803833,2.4800000190734863
2023-04-12,4.599999904632568,19.549999237060547,12.359999656677246,2.5299999713897705
2023-04-11,4.440000057220459,18.729999542236328,11.649999618530273,2.4100000858306885
2023-04-10,4.139999866485596,18.010000228881836,11.130000114440918,2.3299999237060547
2023-04-06,3.9200000762939453,17.790000915527344,10.9399995803833,2.25
2023-04-05,3.9700000286102295,18.030000686645508,11.09000015258789,2.299999952316284
2023-04-04,3.9700000286102295,17.90999984741211,11.09000015258789,2.2899999618530273
2023-04-03,4.039999961853027,18.43000030517578,11.359999656677246,2.3399999141693115
2023-03-31,3.9200000762939453,17.809999465942383,10.979999542236328,2.25
2023-03-30,4.159999847412109,18.579999923706055,11.399999618530273,2.3499999046325684
2023-03-29,4.199999809265137,18.579999923706055,11.630000114440918,2.390000104904175
2023-03-28,4.119999885559082,18.200000762939453,11.399999618530273,2.3399999141693115
2023-03-27,4.050000190734863,18.049999237060547,11.1899995803833,2.2899999618530273
2023-03-24,3.880000114440918,17.030000686645508,10.649999618530273,2.2200000286102295
2023-03-23,3.8299999237060547,17.040000915527344,10.579999923706055,2.1700000762939453
2023-03-22,3.9800000190734863,17.510000228881836,10.739999771118164,2.180000066757202
2023-03-21,4.070000171661377,17.950000762939453,11.050000190734863,2.2899999618530273
2023-03-20,3.7699999809265137,16.790000915527344,10.279999732971191,2.140000104904175
2023-03-17,3.9000000953674316,17.1299991607666,10.4399995803833,2.0999999046325684
2023-03-16,4.139999866485596,18.100000381469727,10.880000114440918,2.259999990463257
2023-03-15,3.930000066757202,16.809999465942383,10.3100004196167,2.180000066757202
2023-03-14,4.260000228881836,18.280000686645508,10.989999771118164,2.4100000858306885
2023-03-13,4.340000152587891,18.479999542236328,11.270000457763672,2.4700000286102295
2023-03-10,4.570000171661377,18.940000534057617,11.710000038146973,2.559999942779541
2023-03-09,4.929999828338623,19.8799991607666,12.5600004196167,2.690000057220459
2023-03-08,5.199999809265137,20.780000686645508,13.180000305175781,2.819999933242798
2023-03-07,4.889999866485596,19.850000381469727,12.670000076293945,2.7699999809265137
2023-03-06,5.090000152587891,20.34000015258789,13.039999961853027,2.9000000953674316
2023-03-03,4.960000038146973,19.700000762939453,12.84000015258789,2.809999942779541
2023-03-02,4.829999923706055,19.149999618530273,12.479999542236328,2.6700000762939453
2023-03-01,5.170000076293945,20.559999465942383,13.420000076293945,2.819999933242798
2023-02-28,5.110000133514404,20.719999313354492,13.319999694824219,2.9000000953674316
2023-02-27,5.130000114440918,21.209999084472656,13.710000038146973,2.890000104904175
2023-02-24,5.039999961853027,20.729999542236328,13.449999809265137,2.759999990463257
2023-02-23,4.789999961853027,20.899999618530273,13.539999961853027,2.799999952316284
2023-02-22,4.590000152587891,20.299999237060547,13.239999771118164,2.6600000858306885
2023-02-21,4.659999847412109,20.260000228881836,13.15999984741211,2.680000066757202
2023-02-17,4.639999866485596,20.219999313354492,13.300000190734863,2.700000047683716
2023-02-16,4.840000152587891,21.420000076293945,13.949999809265137,2.9700000286102295
2023-02-15,4.639999866485596,21.43000030517578,13.829999923706055,2.819999933242798
2023-02-14,4.71999979019165,21.719999313354492,13.920000076293945,2.859999895095825
2023-02-13,4.630000114440918,21.34000015258789,13.550000190734863,2.75
2023-02-10,4.369999885559082,20.40999984741211,12.760000228881836,2.5999999046325684
2023-02-09,4.340000152587891,20.229999542236328,12.699999809265137,2.5299999713897705
2023-02-08,4.429999828338623,20.8799991607666,12.970000267028809,2.5999999046325684
2023-02-07,4.349999904632568,20.729999542236328,12.779999732971191,2.5999999046325684
2023-02-06,4.369999885559082,20.8799991607666,12.720000267028809,2.559999942779541
2023-02-03,4.289999961853027,20.59000015258789,12.329999923706055,2.559999942779541
2023-02-02,4.519999980926514,21.829999923706055,13.130000114440918,2.630000114440918
